generator,classifier,size_multiplier,n_evaluations,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,brier_mean
COND_DDPM,lr,1,15,0.9963555555555555,0.006594209420665857,0.9558333333333333,0.932,0.9955555555555555,0.9972743707412043,0.9631344691556497,0.034323656271911154
COND_DDPM,lr,2,15,0.9956888888888888,0.006227775299830996,0.9533333333333334,0.9253333333333332,1.0,1.0,0.9604866886258833,0.036036244856151506
COND_DDPM,lr,3,15,0.9973333333333334,0.003371213337224267,0.9491666666666667,0.92,0.9977777777777778,0.9986394557823128,0.957022499044819,0.037097896996908804
COND_DDPM,mlp,1,15,0.9872888888888889,0.01867766116126504,0.9508333333333333,0.928,0.9888888888888889,0.9929656182547024,0.9585472395563209,0.06933980732891581
COND_DDPM,mlp,2,15,0.9955999999999999,0.006257947328150386,0.955,0.928,1.0,1.0,0.9621110000728756,0.04744858741889728
COND_DDPM,mlp,3,15,0.9959555555555556,0.006346936102057251,0.9583333333333334,0.9359999999999999,0.9955555555555555,0.9972505668934241,0.9651782472766739,0.037222555588991124
COND_DDPM,rfc,1,15,0.9992,0.0014735767952259715,0.9741666666666667,0.9600000000000001,0.9977777777777778,0.9986394557823128,0.9786254945656818,0.044009327814678416
COND_DDPM,rfc,2,15,0.9993777777777777,0.000889682185690153,0.9758333333333333,0.9613333333333334,1.0,1.0,0.9800194008400696,0.03910713647347606
COND_DDPM,rfc,3,15,0.9992888888888889,0.00105308817721718,0.975,0.9626666666666667,0.9955555555555555,0.9972777777777778,0.9793581390066506,0.036261155651705804
COND_DDPM,xgb,1,15,0.9982666666666666,0.0024918916127158928,0.965,0.9493333333333334,0.9911111111111112,0.9945815602836879,0.9709741533403111,0.027423756817976635
COND_DDPM,xgb,2,15,0.9988888888888889,0.0015464586614372616,0.9625,0.94,1.0,1.0,0.9684027778347946,0.029323592223227023
COND_DDPM,xgb,3,15,0.9979111111111112,0.0021361093050129547,0.9608333333333333,0.9413333333333332,0.9933333333333334,0.9958012915311052,0.9673978584688495,0.029656112566590308
EMPIRICAL_BOOTSTRAP,lr,1,15,0.9992,0.0013380867649282185,0.9875,0.9853333333333333,0.9911111111111112,0.9946928104575163,0.9898973320854072,0.01164434953046327
EMPIRICAL_BOOTSTRAP,lr,2,15,0.9995111111111111,0.0010828142834700372,0.9924999999999999,0.9893333333333333,0.9977777777777778,0.9986928104575163,0.9938835892145214,0.008630457049987076
EMPIRICAL_BOOTSTRAP,lr,3,15,0.9997777777777778,0.0004114755998989488,0.9941666666666666,0.9906666666666666,1.0,1.0,0.9952587095444237,0.0070088838501536485
EMPIRICAL_BOOTSTRAP,mlp,1,15,0.9944000000000001,0.006181385266226613,0.9633333333333333,0.9693333333333333,0.9533333333333334,0.973430470697317,0.9708403477531904,0.08390636973168265
EMPIRICAL_BOOTSTRAP,mlp,2,15,0.9977333333333332,0.005530865772234602,0.9725,0.9706666666666666,0.9755555555555555,0.9858976479480681,0.9778519728678907,0.04321500263882543
EMPIRICAL_BOOTSTRAP,mlp,3,15,0.9972444444444445,0.004665759549024384,0.9783333333333334,0.9733333333333333,0.9866666666666667,0.9921276407999097,0.9821413864757434,0.03714936050767295
EMPIRICAL_BOOTSTRAP,rfc,1,15,0.9997333333333334,0.0004911922650753072,0.9933333333333334,0.996,0.9888888888888889,0.9935143288084465,0.9947057450843123,0.010674782990459934
EMPIRICAL_BOOTSTRAP,rfc,2,15,1.0,0.0,0.995,0.9973333333333334,0.9911111111111112,0.9948215183509301,0.9960258770975137,0.007870943497580298
EMPIRICAL_BOOTSTRAP,rfc,3,15,1.0,0.0,0.9966666666666666,0.9973333333333334,0.9955555555555555,0.9973856209150327,0.9973330666399973,0.005846941730079298
EMPIRICAL_BOOTSTRAP,xgb,1,15,0.9986666666666667,0.002960051479603836,0.9866666666666667,0.9893333333333333,0.9822222222222223,0.9894117647058824,0.9893329332933294,0.011956233696158355
EMPIRICAL_BOOTSTRAP,xgb,2,15,0.9996888888888888,0.0008680087288957147,0.9908333333333333,0.9919999999999999,0.9888888888888889,0.9934881850175968,0.9926306880940773,0.0069637088638652735
EMPIRICAL_BOOTSTRAP,xgb,3,15,0.9999555555555555,0.00017213259316478492,0.9941666666666666,0.9946666666666667,0.9933333333333334,0.9960522875816994,0.9953263326332633,0.004108803392349121
GAUSSIAN_EMPIRICAL,lr,1,15,0.9985777777777778,0.0024542372385896586,0.9733333333333333,0.9573333333333333,1.0,1.0,0.9779044379443573,0.02024360091023414
GAUSSIAN_EMPIRICAL,lr,2,15,0.9987555555555556,0.002334920095389081,0.9774999999999999,0.964,1.0,1.0,0.9814260486088251,0.01786409795541533
GAUSSIAN_EMPIRICAL,lr,3,15,0.998488888888889,0.002730970717199414,0.9816666666666667,0.9706666666666666,1.0,1.0,0.9849485634095354,0.014135608536309765
GAUSSIAN_EMPIRICAL,mlp,1,15,0.9876444444444444,0.015027734501008604,0.9391666666666667,0.92,0.9711111111111111,0.9821077320612204,0.9487075582126396,0.10048109300326638
GAUSSIAN_EMPIRICAL,mlp,2,15,0.9917333333333332,0.010138094119752148,0.9558333333333333,0.9413333333333332,0.9800000000000001,0.9873697829424708,0.9634819926814234,0.07878324742126708
GAUSSIAN_EMPIRICAL,mlp,3,15,0.9929777777777777,0.010364367121059826,0.9608333333333333,0.9440000000000001,0.9888888888888889,0.9933322662398293,0.9673956793078579,0.056215213046913216
