feature,missing_n,missing_pct,n_unique_nonmissing
weight,98569,96.85847925633315,9
max_glu_serum,96420,94.74677200636755,3
A1Cresult,84748,83.27732248491637,3
medical_specialty,49949,49.08220820313268,72
payer_code,40256,39.5574160328597,17
race,2273,2.2335554114340743,5
diag_3,1423,1.398305917497003,789
diag_2,358,0.3517874339170253,748
diag_1,21,0.02063557573256294,716
acarbose,0,0.0,4
acetohexamide,0,0.0,2
admission_source_id,0,0.0,17
admission_type_id,0,0.0,8
age,0,0.0,10
change,0,0.0,2
chlorpropamide,0,0.0,4
citoglipton,0,0.0,1
diabetesMed,0,0.0,2
discharge_disposition_id,0,0.0,26
examide,0,0.0,1
gender,0,0.0,3
glimepiride,0,0.0,4
glimepiride-pioglitazone,0,0.0,2
glipizide,0,0.0,4
glipizide-metformin,0,0.0,2
glyburide,0,0.0,4
glyburide-metformin,0,0.0,4
insulin,0,0.0,4
metformin,0,0.0,4
metformin-pioglitazone,0,0.0,2
metformin-rosiglitazone,0,0.0,2
miglitol,0,0.0,4
nateglinide,0,0.0,4
num_lab_procedures,0,0.0,118
num_medications,0,0.0,75
num_procedures,0,0.0,7
number_diagnoses,0,0.0,16
number_emergency,0,0.0,33
number_inpatient,0,0.0,21
number_outpatient,0,0.0,39
pioglitazone,0,0.0,4
repaglinide,0,0.0,4
rosiglitazone,0,0.0,4
time_in_hospital,0,0.0,14
tolazamide,0,0.0,3
tolbutamide,0,0.0,2
troglitazone,0,0.0,2
